"WindCodes","RT_DATE","RT_TIME","RT_PRE_CLOSE","RT_OPEN","RT_HIGH","RT_LOW","RT_LAST","RT_LAST_AMT","RT_LAST_VOL","RT_LATEST","RT_VOL","RT_AMT","RT_CHG","RT_PCT_CHG","RT_MKT_VOL","RT_UP_TOTAL","RT_SAME_TOTAL","RT_DOWN_TOTAL","RT_PE_TTM"
NCDB2Y.WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCDB3Y.WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCDB4Y.WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCDB5Y.WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCDB6M.WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCDB6Y.WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCDB7Y.WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCDB8Y.WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCDB9M.WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCDB9Y.WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCDBF10Y.WI,20251121,0,1.92,1.9625,1.9625,1.9625,1.9625,0,0,1.9625,0,0,0.0425,0.0221,0,0,0,0,0
NCDBF1Y.WI,20251121,0,1.6212,1.6088,1.6088,1.6088,1.6088,0,0,1.6088,0,0,-0.0124,-0.0076,0,0,0,0,0
NCDBF2Y.WI,20251121,0,1.6975,1.6569,1.6569,1.6569,1.6569,0,0,1.6569,0,0,-0.0406,-0.0239,0,0,0,0,0
NCDBF30Y.WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCDBF3Y.WI,20251121,0,1.8275,1.8725,1.8725,1.8725,1.8725,0,0,1.8725,0,0,0.045,0.0246,0,0,0,0,0
NCDBF4Y.WI,20251121,0,1.74,1.725,1.725,1.725,1.725,0,0,1.725,0,0,-0.015,-0.0086,0,0,0,0,0
NCDBF5Y.WI,20251121,0,1.7475,1.7513,1.7513,1.7513,1.7513,0,0,1.7513,0,0,0.0038,0.0022,0,0,0,0,0
NCDBF6M.WI,20251121,0,1.5438,1.54,1.54,1.54,1.54,0,0,1.54,0,0,-0.0038,-0.0025,0,0,0,0,0
NCDBF6Y.WI,20251121,0,1.8425,1.8294,1.8294,1.8294,1.8294,0,0,1.8294,0,0,-0.0131,-0.0071,0,0,0,0,0
NCDBF7Y.WI,20251121,0,1.8688,1.8712,1.8712,1.8712,1.8712,0,0,1.8712,0,0,0.0024,0.0013,0,0,0,0,0
NCDBF8Y.WI,20251121,0,1.9244,1.9925,1.9925,1.9925,1.9925,0,0,1.9925,0,0,0.0681,0.0354,0,0,0,0,0
NCDBF9M.WI,20251121,0,1.6325,1.585,1.585,1.585,1.585,0,0,1.585,0,0,-0.0475,-0.0291,0,0,0,0,0
NCDBF9Y.WI,20251121,0,1.935,1.935,1.935,1.935,1.935,0,0,1.935,0,0,0,0,0,0,0,0,0
NCDBO10Y.WI,20251121,0,1.92,1.92,1.92,1.92,1.92,0,0,1.92,0,0,0,0,0,0,0,0,0
NCDBO1Y.WI,20250918,0,1.575,1.575,1.575,1.575,1.575,0,0,1.575,0,0,0,0,0,0,0,0,0
NCDBO3Y.WI,20251121,0,1.665,1.6662,1.6662,1.6662,1.6662,0,0,1.6662,0,0,0.0012,0.0007,0,0,0,0,0
NCDBO5Y.WI,20251121,0,1.7525,1.7525,1.7525,1.7525,1.7525,0,0,1.7525,0,0,0,0,0,0,0,0,0
NCDBO7Y.WI,20251121,0,1.6675,1.6767,1.6767,1.6767,1.6767,0,0,1.6767,0,0,0.0092,0.0055,0,0,0,0,0
TB10Y.WI,20251120,0,1.807,1.8085,1.8125,1.8045,1.8085,0,0,1.8085,62300,0,0.0015,0.0008,0,0,0,0,0
TB1Y.WI,20251120,0,1.402,1.4025,1.4025,1.4,1.4025,0,0,1.4025,3200,0,0.0005,0.0004,0,0,0,0,0
TB2Y.WI,20251120,0,1.426,1.4255,1.4255,1.425,1.4255,0,0,1.4255,1100,0,-0.0005,-0.0004,0,0,0,0,0
TB30Y.WI,20251120,0,2.146,2.1515,2.159,2.1425,2.1515,0,0,2.1515,201900,0,0.0055,0.0026,0,0,0,0,0
TB3Y.WI,20251120,0,1.4325,1.43,1.43,1.43,1.43,0,0,1.43,1200,0,-0.0025,-0.0017,0,0,0,0,0
TB5Y.WI,20251120,0,1.5875,1.5775,1.585,1.5775,1.5775,0,0,1.5775,12200,0,-0.01,-0.0063,0,0,0,0,0
